Real_Name,principal component 1,principal component 2,principal component 3,dG
107,0.6437930780065837,-0.2122103072983634,3.17473405575002,-2.148916989514117
171,-0.9973575189341204,-2.4943234565235315,-1.2968739899354798,-1.0783809174387322
176,2.622837127573252,-1.8549730265403916,3.1538095912980117,-3.884426643541093
183,-0.8442481894849683,1.1032159903105174,1.880775736675776,-3.010098901472772
185,-1.5659498547425024,-0.0320194460485195,-0.868451479171624,-1.328956889854767
189,-1.206679224600629,1.3336740754690044,1.3845274258286493,-2.3162141298068137
48,-1.7784425770403156,-2.1148300966847398,-1.7917385853353258,-1.5259016334106572
87,-0.9910689344114912,6.160814421132018,-2.638772972040212,-1.6958981223491287
83charge,-3.685217814493394,1.0793176392091244,0.1596232574296465,-1.1469645711172096
95,-2.924029762891517,-0.0473646115717942,-0.73489561831665,-1.5335782531910933
12,3.288060551527361,0.4416214767274013,-1.277986960366625,-1.4661573855576333
19,-0.5783160846083348,-0.2923738694634262,-0.0356042240981737,-2.617576777502286
20,0.1396204278858449,-0.2122205116129374,-0.19951884344495,-3.175251215126808
22,0.3038011521553151,0.8739493558710051,-0.6671027853153753,-1.998013579377795
32,0.389606919998786,0.4358145644389063,-0.5731885429253389,-4.002230083167765
36,3.1962556074161785,0.7337274271909972,1.2286424822638733,-3.030267846253999
40,1.1976136291962465,-0.881991865356489,-1.6411308357626415,-2.263697841599785
45,-0.3848405384468547,-2.443479748576466,-1.5339191477450378,-1.3262607939507511
47,2.724231157664125,-0.5646230475481738,-1.0169589318461276,-2.0278942052139204
52,-1.6976225286457929,-0.7817526594618806,-0.769576690390091,-1.8565990455514167
56,-1.6772037191926883,-0.3835059146894752,1.3801446233781287,-1.67590883963434
