Real_Name,principal component 1,principal component 2,principal component 3
hub4,-1.2201081808225942,-0.9088303565824032,-0.4909009096832009
stoddart,0.11882850980535285,2.7787880236025284,3.365524220263691
davis3water,1.4542608581576169,-0.34708050292517595,-1.7361369240870088
107,0.1877942545416915,3.3799751961955318,-2.429816774433532
davis2water,9.617180786336437,0.18104504894265744,-0.6093980086228828
roelen1water,10.272245618147352,-2.1870651986110543,-1.1449442980285733
12,0.7530224468158185,1.8193641125287658,-0.05767254726628663
13,-1.4930403195986839,0.7576146074393842,0.04143192690716169
133,-1.1378742474796357,-0.9203719662276164,-0.6078710791382061
171,-1.888594191387684,0.33764795943898224,-1.3492863282527132
172,-0.8632151889623283,0.5718114698588596,-1.5007873184919
174,0.03461226316760535,1.5906039557318876,-1.4293445023935674
176,0.8400313524848065,2.414811874028313,-0.9869444467924537
183,-0.041695182591622144,0.5006418009456348,-0.2832436530279916
185,-1.4678235574619718,-1.3301169523306422,0.33016274551304087
189,-0.308588809872612,-0.23523590278411546,-0.04983493524161496
19,-0.8596853363847672,-0.6138063644776067,0.11994728400831811
20,-0.38599439402831304,0.3797509866710762,-0.780413386967164
22,-0.6564582058278248,-0.6354806260043409,0.7298832400996733
3,-2.285009997906095,-0.6032438654239594,-1.0251028812685168
32,-0.7082100623552479,-0.25312334236477796,0.9836095831375437
33,0.18742969795988335,0.0013982019237400052,1.5452223233190425
4,-0.9286010966331881,-0.1832914413674069,-1.3325639191119885
40,-1.046209093172895,1.1002212891881753,1.262326042110094
41,0.9112238081488189,4.11071713941681,5.260127503463496
45,-1.6364313044326553,0.6481897212161082,-1.015618817030714
46,0.2717168746524307,1.1569679744139847,0.3513901711503775
47,0.22156414855322895,2.0703670370790723,-0.2897670241603975
48,-1.9567063644358644,-0.781568059888969,-1.4695504063115183
52,-1.0751777571525136,-1.631034144834508,-0.7943489803779924
56,-1.0479465925405895,-0.4227595596695418,-0.8574129822061684
83,-1.6953388193574175,-2.023655937610175,0.0675984424169152
87,0.5694658909621857,-4.390369267410645,4.313573247244979
95,-1.588905013871989,-2.2185499165956593,-0.057941385536989826
97,0.6865988896997501,-2.240816187292873,1.954499331002179
83charge,-1.8343616831564846,-1.8735168062200354,-0.026394552205133107
